epoch,train_loss,eval_loss,accuracy,f1_score
1,0.003665855062925922,0.27037916084130603,0.9535693779904306,0.3712433706540955
2,0.0027967398999287386,0.2802359466751417,0.9515406698564594,0.37556561085972856
3,0.0024199778183211324,0.2734033852815628,0.9532248803827751,0.4256900212314226
4,0.002069204387374398,0.298689836760362,0.9513875598086124,0.40021750951604135
5,0.002041910441722412,0.27841366827487946,0.9559043062200957,0.49313725490196075
6,0.0017495214021010371,0.31819810916980107,0.9560956937799043,0.3702359346642468
7,0.0021401705646207935,0.29408966104189554,0.9550239234449761,0.5116063138347261
8,0.001453282471332813,0.293552575343185,0.9552918660287081,0.41298265249020705
9,0.001180498538184222,0.33160408039887745,0.9546411483253588,0.34469696969696967
10,0.0009276909894076513,0.3161833932002385,0.954755980861244,0.46337662337662344
